Week Beginning Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bales collected,Estimated weight of cardboard (kg)
01/01/2016 12:00:00 AM,,,,,0,1,0,1,250
01/04/2016 12:00:00 AM,2,1,1,1,1,1,0,7,1750
01/11/2016 12:00:00 AM,1,1,2,1,1,1,0,7,1750
01/18/2016 12:00:00 AM,1,1,1,1,2,0,1,7,1750
01/25/2016 12:00:00 AM,1,1,1,1,1,1,1,7,1750
02/01/2016 12:00:00 AM,1,1,1,1,1,1,0,6,1500
02/08/2016 12:00:00 AM,1,2,1,1,1,1,0,7,1750
02/15/2016 12:00:00 AM,2,1,1,1,1,1,0,7,1750
02/22/2016 12:00:00 AM,1,1,1,1,1,1,1,7,1750
02/29/2016 12:00:00 AM,1,1,1,1,1,0,1,6,1500
03/07/2016 12:00:00 AM,1,1,2,0,2,0,1,7,1750
03/14/2016 12:00:00 AM,1,1,1,1,1,1,1,7,1750
03/21/2016 12:00:00 AM,2,1,1,2,0,1,0,7,1750
03/28/2016 12:00:00 AM,1,2,1,1,1,1,0,7,1750
04/04/2016 12:00:00 AM,1,2,1,1,1,1,1,8,2000
04/11/2016 12:00:00 AM,1,1,1,1,1,1,1,7,1750
04/18/2016 12:00:00 AM,1,1,1,1,1,1,1,7,1750
04/25/2016 12:00:00 AM,1,1,2,1,1,1,,7,1750
05/02/2016 12:00:00 AM,1,1,1,1,1,1,1,7,1750
05/09/2016 12:00:00 AM,,1,1,1,1,1,1,6,1500
05/16/2016 12:00:00 AM,1,1,1,1,1,1,1,7,1750
05/23/2016 12:00:00 AM,1,1,1,1,1,1,,6,1500
05/30/2016 12:00:00 AM,1,1,1,1,1,1,,6,1500
06/06/2016 12:00:00 AM,1,1,1,1,2,,1,7,1750
06/13/2016 12:00:00 AM,,1,1,1,1,,1,5,1250
06/20/2016 12:00:00 AM,1,1,1,1,1,1,,6,1500
06/27/2016 12:00:00 AM,2,1,1,1,1,1,,7,1750
07/04/2016 12:00:00 AM,1,2,1,1,1,,1,7,1750
07/11/2016 12:00:00 AM,1,1,1,1,1,,,5,1250
07/18/2016 12:00:00 AM,2,1,1,1,1,,1,7,1750
07/25/2016 12:00:00 AM,1,1,1,1,1,2,,7,1750
08/01/2016 12:00:00 AM,2,1,1,1,1,1,,7,1750
08/08/2016 12:00:00 AM,1,1,2,1,1,1,1,8,2000
08/15/2016 12:00:00 AM,1,2,1,1,1,1,,7,1750
08/22/2016 12:00:00 AM,1,1,1,1,1,1,2,8,2000
08/29/2016 12:00:00 AM,,2,1,,2,1,1,7,1750
09/05/2016 12:00:00 AM,1,1,1,1,1,1,,6,1500
09/12/2016 12:00:00 AM,1,1,1,1,1,1,,6,1500
09/19/2016 12:00:00 AM,1,1,1,1,1,,,5,1250
09/26/2016 12:00:00 AM,2,1,1,1,1,1,,7,1750
10/03/2016 12:00:00 AM,1,1,1,1,1,1,,6,1500
10/10/2016 12:00:00 AM,1,1,1,2,1,,1,7,1750
10/17/2016 12:00:00 AM,1,1,1,1,1,1,,6,1500
10/24/2016 12:00:00 AM,1,1,1,1,1,1,,6,1500
10/31/2016 12:00:00 AM,2,,1,1,1,,1,6,1500
11/07/2016 12:00:00 AM,1,1,1,1,1,,1,6,1500
11/14/2016 12:00:00 AM,1,1,1,1,1,1,,6,1500
11/21/2016 12:00:00 AM,1,1,1,1,2,,1,7,1750
11/28/2016 12:00:00 AM,1,1,2,1,1,2,,8,2000
12/05/2016 12:00:00 AM,1,1,1,1,1,1,,6,1500
12/12/2016 12:00:00 AM,1,1,1,1,2,1,1,8,2000
12/19/2016 12:00:00 AM,1,2,2,1,1,1,,8,2000
12/26/2016 12:00:00 AM,,3,1,2,2,1,,9,2250
