Week Beginning Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Weekly Total (bags),Weekly Estimated Total (kg)
01/01/2016 12:00:00 AM,,,,,,,,,
01/04/2016 12:00:00 AM,6.45,,,,p,,,2,12.9
01/11/2016 12:00:00 AM,,,,,,,,,
01/18/2016 12:00:00 AM,,,p,,,,,1,6.45
01/25/2016 12:00:00 AM,p,,,,,,,1,6.45
02/01/2016 12:00:00 AM,p,p,p,p,p,,,5,32.25
02/08/2016 12:00:00 AM,,p,p,,,,,2,12.9
02/15/2016 12:00:00 AM,,,,p,,,,1,6.45
02/22/2016 12:00:00 AM,,p,p,,,,,2,12.9
02/29/2016 12:00:00 AM,,,p,p,p,,,3,19.35
03/07/2016 12:00:00 AM,p,p,p,,,,,3,19.35
03/14/2016 12:00:00 AM,,,p,p,,,,2,12.9
03/21/2016 12:00:00 AM,,,,,,,,,
03/28/2016 12:00:00 AM,,p,p,,,,,2,12.9
04/04/2016 12:00:00 AM,,p,,,,,,1,6.45
04/11/2016 12:00:00 AM,,,p,,,,,1,6.45
04/18/2016 12:00:00 AM,,p,,,,,,1,6.45
04/25/2016 12:00:00 AM,,,,,p,,,1,6.45
05/02/2016 12:00:00 AM,p,p,,p,,,,3,19.35
05/09/2016 12:00:00 AM,,,,,,,,,
05/16/2016 12:00:00 AM,,p,p,p,p,p,,5,32.25
05/23/2016 12:00:00 AM,,,,p,p,,,2,12.9
05/30/2016 12:00:00 AM,,p,p,,,,,2,12.9
06/06/2016 12:00:00 AM,,p,p,,,,,2,12.9
06/13/2016 12:00:00 AM,,p,p,,,,,2,12.9
06/20/2016 12:00:00 AM,p,p,,,,,,2,12.9
06/27/2016 12:00:00 AM,p,,,p,,,,2,12.9
07/04/2016 12:00:00 AM,,,,,,,,,
07/11/2016 12:00:00 AM,p,p,,p,p,,,4,25.8
07/18/2016 12:00:00 AM,,,,,,,,,
07/25/2016 12:00:00 AM,p,,,p,p,p,,4,25.8
08/01/2016 12:00:00 AM,p,,,,,,,1,6.45
08/08/2016 12:00:00 AM,,p,,,,,,1,6.45
08/15/2016 12:00:00 AM,,p,,,,,,1,6.45
08/22/2016 12:00:00 AM,,p,,,,,,1,6.45
08/29/2016 12:00:00 AM,,14.6,9.8,,,,,2,24.4
09/05/2016 12:00:00 AM,,,,,,,,,
09/12/2016 12:00:00 AM,,,,,,,,,
09/19/2016 12:00:00 AM,,,,,,,,,
09/26/2016 12:00:00 AM,,,,,,,,,
10/03/2016 12:00:00 AM,,,,,,,,,
10/10/2016 12:00:00 AM,,,,,,,,,
10/17/2016 12:00:00 AM,,,,,,,,,
10/24/2016 12:00:00 AM,,,,,,,,,
10/31/2016 12:00:00 AM,,,,,,,,,
11/07/2016 12:00:00 AM,,,,,,,,,
11/14/2016 12:00:00 AM,,,,,,,,,
11/21/2016 12:00:00 AM,,,,,,,,,
11/28/2016 12:00:00 AM,,,,,,,,,
12/05/2016 12:00:00 AM,,,,,,,,,
12/12/2016 12:00:00 AM,,,,,,,,,
12/19/2016 12:00:00 AM,,,,,,,,,
12/26/2016 12:00:00 AM,,,,,,,,,
